Date,TSMOM,TSMOM^CM,TSMOM^EQ,TSMOM^FI,TSMOM^FX
04/30/2007,5.06%,2.80%,9.41%,2.83%,8.74%
05/31/2007,2.18%,1.14%,7.82%,4.26%,-2.24%
06/29/2007,2.15%,-0.67%,-2.06%,5.77%,7.02%
07/31/2007,-5.46%,-4.15%,-11.42%,-5.78%,-3.27%
08/31/2007,-2.28%,-0.44%,-2.61%,-0.63%,-7.52%
09/28/2007,4.12%,2.33%,3.66%,3.71%,8.49%
10/31/2007,4.94%,5.61%,4.99%,0.79%,8.07%
11/30/2007,-2.36%,-0.44%,-6.72%,2.18%,-7.86%
12/31/2007,2.84%,3.96%,-0.49%,3.52%,2.37%
01/31/2008,-3.26%,0.56%,-16.40%,-2.41%,-1.95%
02/29/2008,9.39%,16.17%,2.35%,6.83%,3.90%
03/31/2008,-2.77%,-8.61%,4.66%,-0.80%,1.23%
04/30/2008,-2.18%,2.71%,-9.75%,-8.69%,0.78%
05/30/2008,0.12%,3.47%,-1.86%,-6.07%,1.62%
06/30/2008,7.93%,8.11%,17.93%,5.22%,2.99%
07/31/2008,-3.51%,-9.10%,4.81%,-0.42%,-1.91%
08/29/2008,-3.55%,-4.34%,-1.93%,-0.03%,-7.02%
09/30/2008,-1.48%,-6.63%,20.20%,0.11%,-9.17%
10/31/2008,8.95%,1.45%,20.56%,4.72%,19.84%
11/28/2008,7.97%,4.55%,3.70%,20.53%,4.41%
12/31/2008,6.11%,3.25%,-0.60%,12.94%,9.45%
01/30/2009,0.27%,2.10%,5.44%,-6.75%,0.31%
02/27/2009,2.54%,2.52%,7.94%,1.49%,-0.32%
03/31/2009,-2.23%,-3.45%,-4.48%,4.94%,-5.84%
04/30/2009,-4.47%,-2.43%,-11.65%,-4.95%,-2.65%
05/29/2009,-7.37%,-8.15%,-5.27%,-7.86%,-6.85%
06/30/2009,1.50%,3.07%,0.19%,1.25%,-0.37%
07/31/2009,-3.38%,-2.76%,-10.99%,1.74%,-4.47%
08/31/2009,2.06%,3.84%,-7.12%,4.97%,2.23%
09/30/2009,0.89%,0.10%,-3.82%,4.30%,2.29%
10/30/2009,-2.31%,-4.14%,-0.33%,-1.49%,-1.01%
11/30/2009,4.34%,2.84%,5.72%,7.86%,2.50%
12/31/2009,-1.51%,1.34%,6.10%,-9.92%,-3.82%
01/29/2010,-4.63%,-5.07%,-9.23%,-2.26%,-2.88%
02/26/2010,2.08%,3.21%,-0.63%,4.96%,-1.29%
03/31/2010,5.14%,4.07%,15.03%,2.10%,3.18%
04/30/2010,2.15%,2.59%,-2.74%,4.74%,2.12%
